pf, N, m, sigma, cut, Z, error, EOS_PY, EOS_CS
1.500e-01, 1.000e+03, 1.000e+00, 1.000e+00, 3.000e+00, 5.060e-01, 9.727e-02, 1.893e+00, 1.904e+00
2.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 3.000e+00, 4.973e-01, 1.006e-01, 2.375e+00, 2.406e+00
2.500e-01, 1.000e+03, 1.000e+00, 1.000e+00, 3.000e+00, 6.124e-01, 9.558e-02, 3.000e+00, 3.074e+00
3.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 3.000e+00, 9.667e-01, 1.099e-01, 3.816e+00, 3.974e+00
1.500e-01, 1.000e+03, 1.000e+00, 1.000e+00, 3.500e+00, 4.644e-01, 9.026e-02, 1.893e+00, 1.904e+00
2.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 3.500e+00, 4.516e-01, 1.062e-01, 2.375e+00, 2.406e+00
2.500e-01, 1.000e+03, 1.000e+00, 1.000e+00, 3.500e+00, 5.269e-01, 1.312e-01, 3.000e+00, 3.074e+00
3.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 3.500e+00, 8.117e-01, 1.063e-01, 3.816e+00, 3.974e+00
1.500e-01, 1.000e+03, 1.000e+00, 1.000e+00, 4.000e+00, 4.380e-01, 7.549e-02, 1.893e+00, 1.904e+00
2.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 4.000e+00, 4.082e-01, 9.773e-02, 2.375e+00, 2.406e+00
2.500e-01, 1.000e+03, 1.000e+00, 1.000e+00, 4.000e+00, 5.013e-01, 1.217e-01, 3.000e+00, 3.074e+00
3.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 4.000e+00, 8.157e-01, 1.441e-01, 3.816e+00, 3.974e+00
1.500e-01, 1.000e+03, 1.000e+00, 1.000e+00, 4.500e+00, 4.155e-01, 6.969e-02, 1.893e+00, 1.904e+00
2.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 4.500e+00, 4.091e-01, 8.087e-02, 2.375e+00, 2.406e+00
2.500e-01, 1.000e+03, 1.000e+00, 1.000e+00, 4.500e+00, 5.029e-01, 1.278e-01, 3.000e+00, 3.074e+00
3.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 4.500e+00, 7.379e-01, 1.195e-01, 3.816e+00, 3.974e+00
1.500e-01, 1.000e+03, 1.000e+00, 1.000e+00, 5.000e+00, 4.089e-01, 7.976e-02, 1.893e+00, 1.904e+00
2.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 5.000e+00, 3.621e-01, 8.792e-02, 2.375e+00, 2.406e+00
2.500e-01, 1.000e+03, 1.000e+00, 1.000e+00, 5.000e+00, 4.332e-01, 1.712e-01, 3.000e+00, 3.074e+00
3.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 5.000e+00, 7.172e-01, 1.369e-01, 3.816e+00, 3.974e+00
1.500e-01, 1.000e+03, 1.000e+00, 1.000e+00, 5.500e+00, 3.797e-01, 6.072e-02, 1.893e+00, 1.904e+00
2.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 5.500e+00, 3.660e-01, 9.223e-02, 2.375e+00, 2.406e+00
2.500e-01, 1.000e+03, 1.000e+00, 1.000e+00, 5.500e+00, 3.751e-01, 1.163e-01, 3.000e+00, 3.074e+00
3.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 5.500e+00, 6.804e-01, 8.891e-02, 3.816e+00, 3.974e+00
1.500e-01, 1.000e+03, 1.000e+00, 1.000e+00, 6.000e+00, 3.690e-01, 7.365e-02, 1.893e+00, 1.904e+00
2.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 6.000e+00, 3.535e-01, 8.180e-02, 2.375e+00, 2.406e+00
2.500e-01, 1.000e+03, 1.000e+00, 1.000e+00, 6.000e+00, 4.328e-01, 1.387e-01, 3.000e+00, 3.074e+00
3.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 6.000e+00, 7.219e-01, 8.377e-02, 3.816e+00, 3.974e+00
1.500e-01, 1.000e+03, 1.000e+00, 1.000e+00, 6.500e+00, 3.825e-01, 7.059e-02, 1.893e+00, 1.904e+00
2.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 6.500e+00, 3.813e-01, 6.688e-02, 2.375e+00, 2.406e+00
2.500e-01, 1.000e+03, 1.000e+00, 1.000e+00, 6.500e+00, 4.639e-01, 1.834e-01, 3.000e+00, 3.074e+00
3.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 6.500e+00, 6.755e-01, 1.185e-01, 3.816e+00, 3.974e+00
