pf, N, m, sigma, cut, g_sigma, error, RDF_PY, RDF_CS
1.500e-01, 1.000e+03, 1.000e+00, 1.000e+00, 3.000e+00, 1.936e+00, 2.088e-02, 1.488e+00, 1.506e+00
2.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 3.000e+00, 1.890e+00, 1.368e-02, 1.719e+00, 1.758e+00
2.500e-01, 1.000e+03, 1.000e+00, 1.000e+00, 3.000e+00, 1.883e+00, 1.453e-02, 2.000e+00, 2.074e+00
3.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 3.000e+00, 1.972e+00, 1.284e-02, 2.347e+00, 2.478e+00
1.500e-01, 1.000e+03, 1.000e+00, 1.000e+00, 3.500e+00, 1.931e+00, 2.015e-02, 1.488e+00, 1.506e+00
2.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 3.500e+00, 1.861e+00, 1.596e-02, 1.719e+00, 1.758e+00
2.500e-01, 1.000e+03, 1.000e+00, 1.000e+00, 3.500e+00, 1.897e+00, 1.485e-02, 2.000e+00, 2.074e+00
3.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 3.500e+00, 1.950e+00, 1.232e-02, 2.347e+00, 2.478e+00
1.500e-01, 1.000e+03, 1.000e+00, 1.000e+00, 4.000e+00, 1.973e+00, 2.623e-02, 1.488e+00, 1.506e+00
2.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 4.000e+00, 1.879e+00, 1.704e-02, 1.719e+00, 1.758e+00
2.500e-01, 1.000e+03, 1.000e+00, 1.000e+00, 4.000e+00, 1.889e+00, 1.731e-02, 2.000e+00, 2.074e+00
3.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 4.000e+00, 1.964e+00, 1.241e-02, 2.347e+00, 2.478e+00
1.500e-01, 1.000e+03, 1.000e+00, 1.000e+00, 4.500e+00, 1.947e+00, 2.678e-02, 1.488e+00, 1.506e+00
2.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 4.500e+00, 1.903e+00, 1.526e-02, 1.719e+00, 1.758e+00
2.500e-01, 1.000e+03, 1.000e+00, 1.000e+00, 4.500e+00, 1.869e+00, 1.373e-02, 2.000e+00, 2.074e+00
3.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 4.500e+00, 1.975e+00, 1.346e-02, 2.347e+00, 2.478e+00
1.500e-01, 1.000e+03, 1.000e+00, 1.000e+00, 5.000e+00, 1.978e+00, 2.643e-02, 1.488e+00, 1.506e+00
2.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 5.000e+00, 1.915e+00, 1.744e-02, 1.719e+00, 1.758e+00
2.500e-01, 1.000e+03, 1.000e+00, 1.000e+00, 5.000e+00, 1.885e+00, 1.322e-02, 2.000e+00, 2.074e+00
3.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 5.000e+00, 1.994e+00, 1.473e-02, 2.347e+00, 2.478e+00
1.500e-01, 1.000e+03, 1.000e+00, 1.000e+00, 5.500e+00, 2.000e+00, 2.613e-02, 1.488e+00, 1.506e+00
2.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 5.500e+00, 1.918e+00, 1.562e-02, 1.719e+00, 1.758e+00
2.500e-01, 1.000e+03, 1.000e+00, 1.000e+00, 5.500e+00, 1.915e+00, 1.433e-02, 2.000e+00, 2.074e+00
3.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 5.500e+00, 1.988e+00, 1.444e-02, 2.347e+00, 2.478e+00
1.500e-01, 1.000e+03, 1.000e+00, 1.000e+00, 6.000e+00, 2.009e+00, 2.967e-02, 1.488e+00, 1.506e+00
2.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 6.000e+00, 1.924e+00, 1.839e-02, 1.719e+00, 1.758e+00
2.500e-01, 1.000e+03, 1.000e+00, 1.000e+00, 6.000e+00, 1.877e+00, 1.307e-02, 2.000e+00, 2.074e+00
3.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 6.000e+00, 1.967e+00, 1.101e-02, 2.347e+00, 2.478e+00
1.500e-01, 1.000e+03, 1.000e+00, 1.000e+00, 6.500e+00, 2.038e+00, 3.144e-02, 1.488e+00, 1.506e+00
2.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 6.500e+00, 1.906e+00, 2.020e-02, 1.719e+00, 1.758e+00
2.500e-01, 1.000e+03, 1.000e+00, 1.000e+00, 6.500e+00, 1.849e+00, 1.362e-02, 2.000e+00, 2.074e+00
3.000e-01, 1.000e+03, 1.000e+00, 1.000e+00, 6.500e+00, 1.965e+00, 1.570e-02, 2.347e+00, 2.478e+00
